time_ms,sensor,value,status
0,PRESSURE,101.22,OK
0,TEMPERATURE,21.7986,OK
0,VIBRATION,-0.522075,OK
10,VIBRATION,0.0789703,OK
21,VIBRATION,-0.0324067,OK
31,VIBRATION,-0.0974221,OK
40,VIBRATION,-0.53192,OK
51,VIBRATION,-0.577662,OK
61,VIBRATION,-0.506048,OK
70,VIBRATION,-0.414307,OK
81,VIBRATION,-0.946661,OK
91,VIBRATION,-0.748602,OK
100,VIBRATION,-0.235628,OK
111,VIBRATION,-0.307622,OK
121,VIBRATION,-0.197319,OK
130,VIBRATION,-0.0166344,OK
141,VIBRATION,0.289972,OK
152,VIBRATION,0.102564,OK
160,VIBRATION,0.508366,OK
171,VIBRATION,0.359469,OK
181,VIBRATION,0.529452,OK
190,VIBRATION,-0.0486818,OK
200,VIBRATION,0.128975,OK
211,VIBRATION,-0.215811,OK
220,VIBRATION,-0.347005,OK
231,VIBRATION,0.0214021,OK
241,VIBRATION,-0.134922,OK
250,VIBRATION,0.42464,OK
260,VIBRATION,0.812531,OK
271,VIBRATION,0.715295,OK
280,VIBRATION,1.59398,OK
291,VIBRATION,1.2702,OK
301,VIBRATION,1.07607,OK
310,VIBRATION,0.786168,OK
320,VIBRATION,0.742317,OK
331,VIBRATION,0.58129,OK
340,VIBRATION,0.49669,OK
350,VIBRATION,0.578032,OK
361,VIBRATION,0.870623,OK
371,VIBRATION,1.07273,OK
380,VIBRATION,0.647999,OK
391,VIBRATION,0.976236,OK
402,VIBRATION,1.30593,OK
410,VIBRATION,1.15154,OK
421,VIBRATION,0.924983,OK
430,VIBRATION,1.2172,OK
440,VIBRATION,0.947327,OK
451,VIBRATION,1.1757,OK
462,VIBRATION,0.96173,OK
470,VIBRATION,1.10479,OK
481,VIBRATION,0.846154,OK
490,VIBRATION,0.977493,OK
500,VIBRATION,0.767624,OK
510,VIBRATION,0.467589,OK
521,VIBRATION,1.27769,OK
531,VIBRATION,1.25137,OK
540,VIBRATION,0.926858,OK
551,VIBRATION,0.59578,OK
561,VIBRATION,0.496203,OK
570,VIBRATION,0.537542,OK
581,VIBRATION,0.353403,OK
591,VIBRATION,1.24134,OK
600,VIBRATION,1.35587,OK
611,VIBRATION,1.13475,OK
621,VIBRATION,1.04663,OK
630,VIBRATION,0.628133,OK
640,VIBRATION,0.91436,OK
651,VIBRATION,1.12022,OK
660,VIBRATION,0.992338,OK
671,VIBRATION,0.786344,OK
680,VIBRATION,0.688771,OK
691,VIBRATION,0.40353,OK
701,VIBRATION,0.643735,OK
710,VIBRATION,0.466589,OK
720,VIBRATION,0.754264,OK
731,VIBRATION,1.16738,OK
740,VIBRATION,0.940321,OK
750,VIBRATION,1.16623,OK
761,VIBRATION,0.816786,OK
770,VIBRATION,1.01369,OK
781,VIBRATION,0.903633,OK
791,VIBRATION,1.04427,OK
800,VIBRATION,0.574969,OK
811,VIBRATION,0.705407,OK
821,VIBRATION,0.865806,OK
830,VIBRATION,1.01061,OK
841,VIBRATION,0.916516,OK
851,VIBRATION,0.589074,OK
860,VIBRATION,0.364061,OK
870,VIBRATION,0.824707,OK
881,VIBRATION,0.594788,OK
892,VIBRATION,0.199385,OK
900,VIBRATION,0.776052,OK
911,VIBRATION,-0.0937014,OK
920,VIBRATION,0.164774,OK
931,VIBRATION,0.0647394,OK
941,VIBRATION,-0.0540072,OK
950,VIBRATION,-0.467236,OK
960,VIBRATION,0.153889,OK
971,VIBRATION,-0.194242,OK
982,VIBRATION,-0.854872,OK
990,VIBRATION,-1.11279,OK
1001,PRESSURE,101.15,OK
1001,TEMPERATURE,21.7916,OK
1001,VIBRATION,-1.35313,OK
1011,VIBRATION,-1.21331,OK
1020,VIBRATION,-1.1795,OK
1031,VIBRATION,-1.06736,OK
1041,VIBRATION,-1.02586,OK
1050,VIBRATION,-0.900012,OK
1061,VIBRATION,-0.684643,OK
1071,VIBRATION,-0.873483,OK
1080,VIBRATION,-0.664466,OK
1090,VIBRATION,-0.270129,OK
